Game Turn, Player, Action, Tech, Score
60, 7, Contract 235
60, 8, Tech, TECH_POTTERY, 0.0, OWNED
60, 8, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 8, Tech, TECH_MINING, 0.0, OWNED
60, 8, Tech, TECH_SAILING, 334.9, 
60, 8, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 8, Tech, TECH_IRRIGATION, 614.0, 
60, 8, Tech, TECH_ARCHERY, 0.0, OWNED
60, 8, Tech, TECH_WRITING, 0.0, OWNED
60, 8, Tech, TECH_MASONRY, 282.6, 
60, 8, Tech, TECH_BRONZE_WORKING, 331.2, 
60, 8, Tech, TECH_THE_WHEEL, 239.1, 
60, 8, Tech, TECH_CELESTIAL_NAVIGATION, 648.2, 
60, 8, Tech, TECH_CURRENCY, 664.7, RESEARCHING
60, 8, Tech, TECH_HORSEBACK_RIDING, 0.0, OWNED
60, 8, Tech, TECH_IRON_WORKING, 453.7, 
60, 8, Tech, TECH_SHIPBUILDING, 623.3, 
60, 8, Tech, TECH_MATHEMATICS, 807.7, 
60, 8, Tech, TECH_CONSTRUCTION, 403.7, 
60, 8, Tech, TECH_ENGINEERING, 375.3, 
60, 8, Tech, TECH_MILITARY_TACTICS, 1493.7, GOAL
60, 8, Tech, TECH_APPRENTICESHIP, 755.2, 
60, 8, Tech, TECH_MACHINERY, 1365.9, BOOSTED
60, 8, Tech, TECH_EDUCATION, -7771.4, 
60, 8, Tech, TECH_STIRRUPS, 55.8, 
60, 8, Tech, TECH_MILITARY_ENGINEERING, 686.9, 
60, 8, Tech, TECH_CASTLES, 687.1, 
60, 8, Tech, TECH_CARTOGRAPHY, -9040.8, 
60, 8, Contract 763
60, 8, Contract 819
60, 9, Tech, TECH_POTTERY, 0.0, OWNED
60, 9, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 9, Tech, TECH_MINING, 0.0, OWNED
60, 9, Tech, TECH_SAILING, 334.9, 
60, 9, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 9, Tech, TECH_IRRIGATION, 334.9, BOOSTED
60, 9, Tech, TECH_ARCHERY, 0.0, OWNED
60, 9, Tech, TECH_WRITING, 0.0, OWNED
60, 9, Tech, TECH_MASONRY, 412.0, RESEARCHING
60, 9, Tech, TECH_BRONZE_WORKING, 312.2, 
60, 9, Tech, TECH_THE_WHEEL, 236.9, 
60, 9, Tech, TECH_CELESTIAL_NAVIGATION, 674.2, 
60, 9, Tech, TECH_CURRENCY, 276.1, 
60, 9, Tech, TECH_HORSEBACK_RIDING, 0.0, OWNED
60, 9, Tech, TECH_IRON_WORKING, 409.3, 
60, 9, Tech, TECH_SHIPBUILDING, 632.7, 
60, 9, Tech, TECH_MATHEMATICS, 397.2, 
60, 9, Tech, TECH_CONSTRUCTION, 554.9, 
60, 9, Tech, TECH_ENGINEERING, 397.7, 
60, 9, Tech, TECH_MILITARY_TACTICS, 694.7, 
60, 9, Tech, TECH_APPRENTICESHIP, 357.7, 
60, 9, Tech, TECH_MACHINERY, -8642.9, 
60, 9, Tech, TECH_EDUCATION, -8967.9, 
60, 9, Tech, TECH_STIRRUPS, 68.9, 
60, 9, Tech, TECH_MILITARY_ENGINEERING, 979.8, 
60, 9, Tech, TECH_CASTLES, 982.2, GOAL
60, 9, Tech, TECH_CARTOGRAPHY, 976.9, 
60, 9, Contract 856
60, 10, Tech, TECH_POTTERY, 0.0, OWNED
60, 10, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 10, Tech, TECH_MINING, 0.0, OWNED
60, 10, Tech, TECH_SAILING, 0.0, OWNED
60, 10, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 10, Tech, TECH_IRRIGATION, 334.9, BOOSTED
60, 10, Tech, TECH_ARCHERY, 0.0, OWNED
60, 10, Tech, TECH_WRITING, 0.0, OWNED
60, 10, Tech, TECH_MASONRY, 394.6, 
60, 10, Tech, TECH_BRONZE_WORKING, 286.2, 
60, 10, Tech, TECH_THE_WHEEL, 254.9, BOOSTED
60, 10, Tech, TECH_CELESTIAL_NAVIGATION, 301.4, 
60, 10, Tech, TECH_CURRENCY, 0.0, OWNED
60, 10, Tech, TECH_HORSEBACK_RIDING, 236.9, RESEARCHING
60, 10, Tech, TECH_IRON_WORKING, 377.1, 
60, 10, Tech, TECH_SHIPBUILDING, 233.2, 
60, 10, Tech, TECH_MATHEMATICS, 127.2, 
60, 10, Tech, TECH_CONSTRUCTION, 680.8, GOAL
60, 10, Tech, TECH_ENGINEERING, 355.1, 
60, 10, Tech, TECH_MILITARY_TACTICS, 141.2, 
60, 10, Tech, TECH_APPRENTICESHIP, 308.4, 
60, 10, Tech, TECH_MACHINERY, -8725.7, BOOSTED
60, 10, Tech, TECH_EDUCATION, -9326.5, 
60, 10, Tech, TECH_STIRRUPS, 255.2, 
60, 10, Tech, TECH_MILITARY_ENGINEERING, -8686.7, 
60, 10, Tech, TECH_CASTLES, -8686.7, 
60, 10, Tech, TECH_CARTOGRAPHY, -9765.8, 
60, 10, Tech, TECH_SQUARE_RIGGING, -19531.7, 
60, 10, Contract 820
60, 11, Tech, TECH_POTTERY, 0.0, OWNED
60, 11, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 11, Tech, TECH_MINING, 0.0, OWNED
60, 11, Tech, TECH_SAILING, 0.0, OWNED
60, 11, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 11, Tech, TECH_IRRIGATION, 334.9, 
60, 11, Tech, TECH_ARCHERY, 0.0, OWNED
60, 11, Tech, TECH_WRITING, 0.0, OWNED
60, 11, Tech, TECH_MASONRY, 353.7, 
60, 11, Tech, TECH_BRONZE_WORKING, 0.0, OWNED
60, 11, Tech, TECH_THE_WHEEL, 248.2, 
60, 11, Tech, TECH_CELESTIAL_NAVIGATION, 301.4, 
60, 11, Tech, TECH_CURRENCY, 236.2, 
60, 11, Tech, TECH_HORSEBACK_RIDING, 209.5, RESEARCHING
60, 11, Tech, TECH_IRON_WORKING, 140.4, 
60, 11, Tech, TECH_SHIPBUILDING, 218.0, 
60, 11, Tech, TECH_MATHEMATICS, 293.9, 
60, 11, Tech, TECH_CONSTRUCTION, 610.2, GOAL
60, 11, Tech, TECH_ENGINEERING, 337.9, 
60, 11, Tech, TECH_MILITARY_TACTICS, -9468.8, 
60, 11, Tech, TECH_APPRENTICESHIP, 459.2, 
60, 11, Tech, TECH_MACHINERY, -9272.5, BOOSTED
60, 11, Tech, TECH_EDUCATION, -8800.2, 
60, 11, Tech, TECH_STIRRUPS, 225.1, 
60, 11, Tech, TECH_MILITARY_ENGINEERING, -8825.6, 
60, 11, Tech, TECH_CASTLES, -8825.6, 
60, 11, Tech, TECH_CARTOGRAPHY, -9781.0, 
60, 11, Tech, TECH_SQUARE_RIGGING, -19561.9, 
60, 11, Contract 871
60, 12, Tech, TECH_POTTERY, 0.0, OWNED
60, 12, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 12, Tech, TECH_MINING, 0.0, OWNED
60, 12, Tech, TECH_SAILING, 0.0, OWNED
60, 12, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 12, Tech, TECH_IRRIGATION, 0.0, OWNED
60, 12, Tech, TECH_ARCHERY, 0.0, OWNED
60, 12, Tech, TECH_WRITING, 0.0, OWNED
60, 12, Tech, TECH_MASONRY, 266.0, 
60, 12, Tech, TECH_BRONZE_WORKING, 0.0, OWNED
60, 12, Tech, TECH_THE_WHEEL, 260.5, 
60, 12, Tech, TECH_CELESTIAL_NAVIGATION, 389.3, RESEARCHING
60, 12, Tech, TECH_CURRENCY, 301.5, BOOSTED
60, 12, Tech, TECH_HORSEBACK_RIDING, 0.0, OWNED
60, 12, Tech, TECH_IRON_WORKING, 160.4, 
60, 12, Tech, TECH_SHIPBUILDING, 242.8, 
60, 12, Tech, TECH_MATHEMATICS, 398.6, 
60, 12, Tech, TECH_CONSTRUCTION, 364.9, 
60, 12, Tech, TECH_ENGINEERING, 387.8, 
60, 12, Tech, TECH_MILITARY_TACTICS, 706.3, 
60, 12, Tech, TECH_APPRENTICESHIP, 371.2, 
60, 12, Tech, TECH_MACHINERY, -9190.3, 
60, 12, Tech, TECH_EDUCATION, -8927.7, 
60, 12, Tech, TECH_STIRRUPS, 49.4, 
60, 12, Tech, TECH_MILITARY_ENGINEERING, -9368.0, 
60, 12, Tech, TECH_CASTLES, -9368.0, 
60, 12, Tech, TECH_CARTOGRAPHY, -9756.2, 
60, 12, Tech, TECH_SQUARE_RIGGING, -19512.4, 
60, 13, Tech, TECH_POTTERY, 0.0, OWNED
60, 13, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 13, Tech, TECH_MINING, 0.0, OWNED
60, 13, Tech, TECH_SAILING, 0.0, OWNED
60, 13, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 13, Tech, TECH_IRRIGATION, 0.0, OWNED
60, 13, Tech, TECH_ARCHERY, 0.0, OWNED
60, 13, Tech, TECH_WRITING, 0.0, OWNED
60, 13, Tech, TECH_MASONRY, 337.2, RESEARCHING
60, 13, Tech, TECH_BRONZE_WORKING, 0.0, OWNED
60, 13, Tech, TECH_THE_WHEEL, 267.8, 
