Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
61, CIVILIZATION_KANDY, 1, 3, 8, 5, 7, 0, 0, 0, 8, 3, 257, 34, 4, 4, 13, 1, 3, 7, 8, 12, 1, 2, 0, 0
61, CIVILIZATION_KUMASI, 1, 2, 8, 5, 4, 0, 0, 0, 7, 3, 312, 0, 3, 3, 5, 0, 4, 4, 7, 13, 0, 1, 0, 0
61, CIVILIZATION_GRANADA, 1, 5, 9, 5, 5, 0, 0, 0, 7, 6, 86, 9, 5, 4, 7, 1, 5, 13, 7, 13, 0, 5, 5, 0
61, CIVILIZATION_BRUSSELS, 1, 5, 7, 6, 3, 0, 0, 0, 7, 3, 101, 0, 5, 5, 13, 0, 4, 13, 7, 13, 0, 5, 8, 0
62, CIVILIZATION_ROME, 1, 7, 8, 7, 2, 0, 0, 0, 14, 8, 352, 38, 7, 7, 36, 4, 11, 20, 14, 13, 1, 6, 5, 0
62, CIVILIZATION_CHINA, 2, 8, 9, 5, 6, 0, 0, 1, 21, 3, 114, 32, 14, 4, 17, 2, 21, 25, 21, 10, 2, 7, 0, 0
62, CIVILIZATION_JAPAN, 3, 11, 10, 5, 7, 0, 0, 0, 31, 6, 256, 201, 12, 8, 20, 8, 31, 35, 31, 14, 2, 10, 0, 2
62, CIVILIZATION_AMERICA, 2, 6, 9, 6, 4, 0, 0, 0, 23, 8, 230, 31, 9, 9, 10, 3, 19, 16, 23, 14, 1, 5, 0, 0
62, CIVILIZATION_SPAIN, 2, 5, 7, 4, 5, 0, 0, 1, 20, 3, 273, 110, 6, 2, 15, 4, 18, 14, 20, 12, 1, 4, 0, 0
62, CIVILIZATION_EGYPT, 3, 7, 7, 8, 8, 0, 0, 1, 29, 3, 94, 346, 7, 7, 14, 10, 20, 21, 29, 14, 1, 6, 2, 0
62, CIVILIZATION_KONGO, 2, 5, 8, 6, 4, 0, 0, 0, 20, 2, 158, 57, 10, 7, 6, 2, 17, 15, 20, 14, 1, 4, 0, 0
62, CIVILIZATION_AZTEC, 2, 4, 8, 3, 3, 0, 0, 0, 18, 0, 12, 5, 5, 2, 11, 1, 13, 10, 18, 10, 1, 3, 0, 0
62, CIVILIZATION_JAKARTA, 1, 4, 7, 5, 9, 0, 0, 0, 8, 1, 210, 16, 6, 4, 8, 1, 6, 10, 8, 13, 0, 3, 5, 0
62, CIVILIZATION_HATTUSA, 1, 4, 7, 5, 6, 0, 0, 0, 7, 4, 343, 0, 7, 4, 5, 0, 6, 10, 7, 15, 1, 3, 0, 0
