Game Turn, Player, Category, Target Type, Target Info, Unit Info, Extra
61, 18, Wander, , , UNIT_ARCHER (327683), Move To: 71 27
61, 19, Wander, , , UNIT_ARCHER (393216), Move To: 12 24
61, 19, Wander, , , UNIT_WARRIOR (196610), Move To: 14 28
61, 19, Wander, , , UNIT_HORSEMAN (458755), Move To: 12 26
61, 20, Wander, , , UNIT_WARRIOR (131073), Move To: 75 20
61, 20, Wander, , , UNIT_WARRIOR (196610), Move To: 76 23
61, 20, Wander, , , UNIT_ARCHER (393220), Move To: 80 18
61, 20, Wander, , , UNIT_ARCHER (458757), Move To: 77 19
61, 20, Wander, , , UNIT_ARCHER (524294), Move To: 78 21
61, 20, Wander, , , UNIT_ARCHER (589831), Move To: 78 19
61, 21, Wander, , , UNIT_ARCHER (458752), Move To: 56 37
61, 21, Wander, , , UNIT_WARRIOR (131073), Move To: 57 40
61, 21, Wander, , , UNIT_WARRIOR (196610), Move To: 57 33
61, 21, Wander, , , UNIT_WARRIOR (327683), Move To: 58 37
61, 21, Wander, , , UNIT_WARRIOR (393220), Move To: 60 37
61, 21, Wander, , , UNIT_ARCHER (524293), Move To: 55 39
61, 22, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_SCOUT (7929976), UNIT_WARRIOR (131073), Expected Damage: 0, Move 10 45 Attack 11 46
61, 22, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_SCOUT (7929976), UNIT_WARRIOR (196610), Expected Damage: 0, Move 11 47 Attack -9999 -9999
61, 22, Wander, , , UNIT_WARRIOR (458752), Move To: 14 43
61, 22, Wander, , , UNIT_WARRIOR (393219), Move To: 13 41
61, 23, Wander, , , UNIT_ARCHER (327680), Move To: 62 15
61, 23, Wander, , , UNIT_WARRIOR (131073), Move To: 54 16
61, 23, Wander, , , UNIT_WARRIOR (196610), Move To: 54 17
61, 23, Wander, , , UNIT_ARCHER (393219), Move To: 61 15
61, 23, Wander, , , UNIT_ARCHER (458756), Move To: 61 16
61, 24, Wander, , , UNIT_ARCHER (458752), Move To: 59 39
61, 24, Wander, , , UNIT_WARRIOR (131073), Move To: 61 40
61, 24, Wander, , , UNIT_WARRIOR (196610), Move To: 61 38
61, 24, Wander, , , UNIT_ARCHER (393219), Move To: 58 43
61, 24, Wander, , , UNIT_ARCHER (589829), Move To: 61 42
61, 63, Barbarian Rampage, TARGET_LOW_PRIORITY_UNIT, ?, UNIT_QUADRIREME (3145775), 56:14
61, 63, Barbarian Rampage, TARGET_ENEMY_PASSIVE_DISTRICT, ?, UNIT_QUADRIREME (4325441), 5:16
61, 63, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_SCOUT (262146), UNIT_WARRIOR (8388735), Expected Damage: 0, Move 47 32 Attack 48 32
61, 63, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_AZTEC_EAGLE_WARRIOR (393220), UNIT_QUADRIREME (7012458), Expected Damage: 0, Move 22 36 Attack -9999 -9999
61, 63, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_AZTEC_EAGLE_WARRIOR (327683), UNIT_WARRIOR (5963866), Expected Damage: 0, Move 20 41 Attack 21 40
61, 63, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_AZTEC_EAGLE_WARRIOR (327683), UNIT_SLINGER (3342386), Expected Damage: 0, Move 22 40 Attack 21 40
61, 63, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_AZTEC_EAGLE_WARRIOR (327683), UNIT_WARRIOR (5242959), Expected Damage: 0, Move 21 41 Attack 21 40
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (917517), AT: 14 2
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (2031646), AT: 61 2
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (1900572), AT: 21 13
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (524295), AT: 29 19
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (2752553), AT: 56 24
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (3211312), AT: 46 31
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (3080238), AT: 21 35
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (2228257), AT: 35 36
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (1703961), AT: 81 37
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (786443), AT: 5 47
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (1179665), AT: 20 47
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (1310739), AT: 75 48
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (4653126), AT: 12 50
61, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (1441813), AT: 57 50
61, 63, Attack Civilian, TARGET_CIVILIAN_UNIT, UNIT_BUILDER (589830), UNIT_QUADRIREME (5046348), Available Units: 1
61, 63, Wander, , , UNIT_WARRIOR (2621479), Move To: 28 23
61, 63, Wander, , , UNIT_WARRIOR (3407923), Move To: 73 45
61, 63, Wander, , , UNIT_SLINGER (4456515), Move To: 28 21
61, 63, Wander, , , UNIT_SLINGER (5308496), Move To: 74 44
61, 63, Wander, , , UNIT_WARRIOR (5701718), Move To: 18 46
61, 63, Wander, , , UNIT_QUADRIREME (6094940), Move To: 35 31
61, 63, Wander, , , UNIT_WARRIOR (6422625), Move To: 6 48
61, 63, Wander, , , UNIT_WARRIOR (6488162), Move To: 19 45
61, 63, Wander, , , UNIT_WARRIOR (6619236), Move To: 28 22
61, 63, Wander, , , UNIT_WARRIOR (6815847), Move To: 21 46
61, 63, Wander, , , UNIT_WARRIOR (7274606), Move To: 73 44
61, 63, Wander, , , UNIT_WARRIOR (7733365), Move To: 19 12
61, 63, Wander, , , UNIT_WARRIOR (7798902), Move To: 64 6
61, 63, Wander, , , UNIT_QUADRIREME (8061050), Move To: 36 39
61, 63, Wander, , , UNIT_WARRIOR (8192124), Move To: 4 47
61, 63, Wander, , , UNIT_ARCHER (8257661), Move To: 28 20
61, 63, HL: Move To Safety, , , UNIT_SCOUT (851980), Move To: 14 50
61, 63, HL: Move To Safety, , , UNIT_SCOUT (1245202), Move To: 23 39
61, 63, HL: Move To Safety, , , UNIT_SCOUT (7929976), Move To: 10 47
61, 63, HL: Explore fallback, , , UNIT_SCOUT (589832), Move To: 26 29
61, 63, HL: Explore fallback, , , UNIT_SCOUT (5505107), Move To: 79 44
61, 63, HL: Explore tertiary regions, , , UNIT_SCOUT (7864439), Move To: 60 15
61, 63, HL: Explore tertiary regions, , , UNIT_SCOUT (8323198), Move To: 24 15
61, 63, HL: End Turn, , , UNIT_SCOUT (589832)
61, 63, HL: End Turn, , , UNIT_SCOUT (1769498)
61, 63, HL: End Turn, , , UNIT_QUADRIREME (5046348)
61, 63, HL: End Turn, , , UNIT_SCOUT (5505107)
61, 63, HL: End Turn, , , UNIT_BUILDER (5636181)
61, 63, HL: End Turn, , , UNIT_SCOUT (7864439)
61, 63, HL: End Turn, , , UNIT_SCOUT (8323198)
62, 2, HL: Explore, , , UNIT_SCOUT (196608), Move To: 52 16
62, 2, HL: Explore, , , UNIT_SCOUT (196608), Move To: 51 16
62, 2, HL: End Turn, , , UNIT_SCOUT (196608)
62, 2, HL: End Turn, , , UNIT_SCOUT (524294)
62, 4, HL: Move To Safety, , , UNIT_SCOUT (196608), Move To: 8 45
62, 4, HL: Explore cur region, , , UNIT_SCOUT (524292), Move To: 13 50
62, 4, HL: End Turn, , , UNIT_SCOUT (524292)
62, 5, HL: Move To Safety, , , UNIT_SCOUT (262146), Move To: 47 35
62, 5, HL: Explore fallback, , , UNIT_SCOUT (196608), Move To: 55 40
62, 5, HL: End Turn, , , UNIT_SCOUT (196608)
62, 7, HL: End Turn, , , UNIT_BUILDER (786439)
62, 8, Wander, , , UNIT_SLINGER (262144), Move To: 13 19
62, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 14 16
62, 8, Wander, , , UNIT_ARCHER (720899), Move To: 8 23
62, 8, Wander, , , UNIT_ARCHER (524294), Move To: 14 22
