[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.60 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.64 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.71 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.75 ms
[2018-01-30 21:09:39]	 ,                LuaContext::CityBannerManager, 6.66 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::CityAddedToMap, 6.71 ms
[2018-01-30 21:09:39]	 ,                LuaContext::NotificationPanel, 16.05 ms
[2018-01-30 21:09:39]	 ,            GameCoreEvent::NotificationAdded, 16.18 ms
[2018-01-30 21:09:39]	 ,        Civ6App_PublishGameCoreEvents, 1058.38 ms
[2018-01-30 21:09:39]	 ,            SerialEvent::LoadComplete, 26.11 ms
[2018-01-30 21:09:39]	 ,        Civ6App_PublishSerialEvents, 60.21 ms
[2018-01-30 21:09:39]	 ,    Civ6App_PublishEvents, 1120.14 ms
[2018-01-30 21:09:39]	 ,        WorldView_PostLoadUpdate, 91.45 ms
[2018-01-30 21:09:39]	 ,    Civ6App_UpdateFrame, 171.82 ms
[2018-01-30 21:09:39]	 ,----- FRAME: 2210 time: 1292.19ms Moving avg: 1405.04ms 2 frames since last 
[2018-01-30 21:09:42]	 ,    UnitContext_Update, 77.82 ms
[2018-01-30 21:09:42]	 ,WorldView_Update, 111.15 ms
[2018-01-30 21:09:43]	 ,Civ6App_Graphics_Render, 817.46 ms
[2018-01-30 21:09:43]	 ,Civ6App_UpdateFrame, 957.08 ms
[2018-01-30 21:09:43]	 ,----- FRAME: 2365 time: 957.49ms Moving avg: 22.22ms 156 frames since last 
[2018-01-30 21:09:43]	 ,            WorldView_RenderFOWJob, 162.92 ms
[2018-01-30 21:09:43]	 ,        WorldView_Render, 164.20 ms
[2018-01-30 21:09:43]	 ,    Civ6App_UpdateFrame, 206.47 ms
[2018-01-30 21:09:43]	 ,----- FRAME: 2366 time: 206.83ms Moving avg: 25.36ms 2 frames since last 
[2018-01-30 21:09:44]	 ,                LuaContext::LoadScreen, 16.98 ms
[2018-01-30 21:09:44]	 ,            SequenceEvent::LoadGameViewStateDone, 22.16 ms
[2018-01-30 21:09:44]	 ,----- FRAME: 2382 time: 25.34ms Moving avg: 28.91ms 17 frames since last 
[2018-01-30 21:11:03]	 , ****GameViewState Begin****
[2018-01-30 21:11:03]	 ,                                                                                                                                                                        UIUpdateJob_Update, 30.90 ms
[2018-01-30 21:11:03]	 ,                                                                                                                                                                        Civ6App_Graphics_Render, 285.02 ms
[2018-01-30 21:11:03]	 ,                                                                                                                                                                    Civ6App_UpdateFrame, 360.20 ms
[2018-01-30 21:11:03]	 ,----- FRAME: 7113 time: 360.55ms Moving avg: 13.03ms 4732 frames since last 
[2018-01-30 21:11:08]	 ,                    Overlays_Update, 22.75 ms
[2018-01-30 21:11:08]	 ,----- FRAME: 7309 time: 52.77ms Moving avg: 27.49ms 197 frames since last 
[2018-01-30 21:11:09]	 ,                Overlays_Update, 23.21 ms
[2018-01-30 21:11:09]	 ,----- FRAME: 7323 time: 47.77ms Moving avg: 27.46ms 15 frames since last 
[2018-01-30 21:11:11]	 ,                Overlays_Update, 23.17 ms
[2018-01-30 21:11:11]	 ,----- FRAME: 7399 time: 51.43ms Moving avg: 26.62ms 77 frames since last 
[2018-01-30 21:11:17]	 ,                DoGameStateSaveRequest, 552.17 ms
[2018-01-30 21:11:17]	 ,            SerialEvent::PreTurnBegin, 586.76 ms
[2018-01-30 21:11:17]	 ,----- FRAME: 7634 time: 27.18ms Moving avg: 26.32ms 236 frames since last 
[2018-01-30 21:11:17]	 ,            GameCoreEvent::TurnBegin, 7.59 ms
[2018-01-30 21:11:17]	 ,                LuaContext::WorldTracker, 7.08 ms
[2018-01-30 21:11:17]	 ,                LuaContext::CivicsChooser, 12.37 ms
[2018-01-30 21:11:17]	 ,                LuaContext::ResearchChooser, 15.30 ms
[2018-01-30 21:11:17]	 ,            SerialEvent::GameCoreEventPublishComplete, 34.85 ms
[2018-01-30 21:11:17]	 ,        Civ6App_PublishGameCoreEvents, 46.09 ms
[2018-01-30 21:11:17]	 ,----- FRAME: 7637 time: 68.29ms Moving avg: 26.99ms 4 frames since last 
[2018-01-30 21:11:24]	 ,                    LuaContext::CivicsChooser, 11.53 ms
[2018-01-30 21:11:24]	 ,                    LuaContext::ResearchChooser, 15.05 ms
[2018-01-30 21:11:24]	 ,                SerialEvent::GameCoreEventPublishComplete, 26.65 ms
[2018-01-30 21:11:24]	 ,            Civ6App_PublishGameCoreEvents, 38.69 ms
[2018-01-30 21:11:24]	 ,----- FRAME: 7880 time: 62.75ms Moving avg: 27.44ms 244 frames since last 
[2018-01-30 21:11:34]	 ,            LuaContext::CityPanel, 31.29 ms
[2018-01-30 21:11:34]	 ,        SerialEvent::CitySelectionChanged, 32.14 ms
[2018-01-30 21:11:34]	 ,----- FRAME: 8268 time: 53.95ms Moving avg: 25.01ms 389 frames since last 
[2018-01-30 21:19:37]	 ,                                                                LuaContext::CityPanel, 7.06 ms
[2018-01-30 21:19:37]	 ,                                                            SerialEvent::InterfaceModeChanged, 7.33 ms
[2018-01-30 21:19:37]	 ,                                                                LuaContext::PlotInfo, 60.99 ms
[2018-01-30 21:19:37]	 ,                                                            SerialEvent::LensLayerOn, 61.06 ms
[2018-01-30 21:19:37]	 ,                                                        Civ6App_PublishSerialEvents, 68.41 ms
[2018-01-30 21:19:37]	 ,----- FRAME: 26811 time: 84.79ms Moving avg: 26.42ms 18544 frames since last 
[2018-01-30 21:19:37]	 ,            SerialEvent::LensUpdateArea, 16.39 ms
[2018-01-30 21:19:37]	 ,----- FRAME: 26812 time: 39.36ms Moving avg: 26.64ms 2 frames since last 
[2018-01-30 21:19:45]	 ,                LuaContext::CityPanel, 6.38 ms
[2018-01-30 21:19:45]	 ,            SerialEvent::InterfaceModeChanged, 6.65 ms
[2018-01-30 21:19:45]	 ,----- FRAME: 27146 time: 26.43ms Moving avg: 25.93ms 335 frames since last 
[2018-01-30 21:20:28]	 ,                                LuaContext::CityPanel, 6.58 ms
[2018-01-30 21:20:28]	 ,                            SerialEvent::InterfaceModeChanged, 6.83 ms
[2018-01-30 21:20:28]	 ,----- FRAME: 28638 time: 29.18ms Moving avg: 28.43ms 1493 frames since last 
[2018-01-30 21:20:28]	 ,            SerialEvent::LensUpdateArea, 15.79 ms
[2018-01-30 21:20:28]	 ,----- FRAME: 28640 time: 38.17ms Moving avg: 28.58ms 3 frames since last 
[2018-01-30 21:20:43]	 ,            LuaContext::CityPanel, 8.00 ms
[2018-01-30 21:20:43]	 ,        SerialEvent::InterfaceModeChanged, 8.83 ms
[2018-01-30 21:20:43]	 ,----- FRAME: 29197 time: 25.50ms Moving avg: 26.91ms 558 frames since last 
[2018-01-30 21:20:46]	 ,                    Overlays_Update, 24.85 ms
[2018-01-30 21:20:46]	 ,----- FRAME: 29318 time: 61.50ms Moving avg: 32.46ms 122 frames since last 
[2018-01-30 21:20:54]	 ,                DoGameStateSaveRequest, 499.50 ms
[2018-01-30 21:20:54]	 ,            SerialEvent::PreTurnBegin, 500.34 ms
[2018-01-30 21:20:54]	 ,----- FRAME: 29556 time: 30.34ms Moving avg: 31.61ms 239 frames since last 
[2018-01-30 21:20:54]	 ,            GameCoreEvent::TurnBegin, 7.90 ms
[2018-01-30 21:20:54]	 ,                LuaContext::CityPanel, 8.09 ms
[2018-01-30 21:20:54]	 ,            GameCoreEvent::LocalPlayerTurnBegin, 8.81 ms
[2018-01-30 21:20:54]	 ,                LuaContext::WorldTracker, 8.11 ms
