Game Turn, Mode, Player, Unit, Operation
060, Adding, 16, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
060, Adding, 16, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
060, Adding, 16, UNIT_WARRIOR (524293), UNITOPERATION_MOVE_TO (19)
060, Adding, 17, UNIT_WARRIOR (131073), UNITOPERATION_FORTIFY (12)
060, Adding, 17, UNIT_ARCHER (393220), UNITOPERATION_RANGE_ATTACK (26)
060, Adding, 17, UNIT_ARCHER (393220), UNITOPERATION_MOVE_TO (19)
060, Adding, 17, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
060, Adding, 17, UNIT_ARCHER (458755), UNITOPERATION_MOVE_TO (19)
060, Adding, 17, UNIT_BUILDER (524288), UNITOPERATION_SKIP_TURN (36)
060, Adding, 18, UNIT_ARCHER (458752), UNITOPERATION_MOVE_TO (19)
060, Adding, 18, UNIT_WARRIOR (131073), UNITOPERATION_FORTIFY (12)
060, Adding, 18, UNIT_WARRIOR (196610), UNITOPERATION_FORTIFY (12)
060, Adding, 18, UNIT_ARCHER (327683), UNITOPERATION_MOVE_TO (19)
060, Adding, 18, UNIT_ARCHER (393220), UNITOPERATION_MOVE_TO (19)
060, Adding, 19, UNIT_ARCHER (393216), UNITOPERATION_MOVE_TO (19)
060, Adding, 19, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
060, Adding, 19, UNIT_HORSEMAN (458755), UNITOPERATION_MOVE_TO (19)
060, Adding, 20, UNIT_BUILDER (655360), UNITOPERATION_BUILD_IMPROVEMENT (2)
060, Adding, 20, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
060, Adding, 20, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
060, Adding, 20, UNIT_ARCHER (393220), UNITOPERATION_MOVE_TO (19)
060, Adding, 20, UNIT_ARCHER (458757), UNITOPERATION_MOVE_TO (19)
060, Adding, 20, UNIT_ARCHER (524294), UNITOPERATION_MOVE_TO (19)
060, Adding, 20, UNIT_ARCHER (589831), UNITOPERATION_MOVE_TO (19)
060, Adding, 21, UNIT_ARCHER (458752), UNITOPERATION_MOVE_TO (19)
060, Adding, 21, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
060, Adding, 21, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
060, Adding, 21, UNIT_WARRIOR (327683), UNITOPERATION_MOVE_TO (19)
060, Adding, 21, UNIT_WARRIOR (393220), UNITOPERATION_MOVE_TO (19)
060, Adding, 21, UNIT_ARCHER (524293), UNITOPERATION_MOVE_TO (19)
060, Adding, 22, UNIT_WARRIOR (524292), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 22, UNIT_WARRIOR (524292), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 22, UNIT_WARRIOR (524292), UNITOPERATION_MOVE_TO (19)
060, Adding, 22, UNIT_ARCHER (589829), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 22, UNIT_ARCHER (589829), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 22, UNIT_ARCHER (589829), UNITOPERATION_MOVE_TO (19)
060, Adding, 22, UNIT_ARCHER (655366), UNITOPERATION_MOVE_TO (19)
060, Adding, 22, UNIT_WARRIOR (131073), UNITOPERATION_FORTIFY (12)
060, Can't Start, 22, UNIT_WARRIOR (131073), UNITOPERATION_FORTIFY (12)
060, Adding, 22, UNIT_WARRIOR (458752), UNITOPERATION_MOVE_TO (19)
060, Adding, 22, UNIT_WARRIOR (393219), UNITOPERATION_MOVE_TO (19)
060, Adding, 23, UNIT_ARCHER (327680), UNITOPERATION_MOVE_TO (19)
060, Adding, 23, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
060, Adding, 23, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
060, Adding, 23, UNIT_ARCHER (393219), UNITOPERATION_MOVE_TO (19)
060, Adding, 24, UNIT_WARRIOR (131073), UNITOPERATION_FORTIFY (12)
060, Can't Start, 24, UNIT_WARRIOR (131073), UNITOPERATION_FORTIFY (12)
060, Adding, 24, UNIT_ARCHER (458752), UNITOPERATION_MOVE_TO (19)
060, Adding, 24, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
060, Adding, 24, UNIT_ARCHER (393219), UNITOPERATION_MOVE_TO (19)
060, Adding, 24, UNIT_ARCHER (589829), UNITOPERATION_MOVE_TO (19)
060, Adding, 25, UNIT_WARRIOR (196610), UNITOPERATION_FORTIFY (12)
060, Can't Start, 25, UNIT_WARRIOR (196610), UNITOPERATION_FORTIFY (12)
060, Adding, 25, UNIT_ARCHER (393219), UNITOPERATION_MOVE_TO (19)
060, Adding, 25, UNIT_ARCHER (524292), UNITOPERATION_MOVE_TO (19)
060, Adding, 25, UNIT_BUILDER (458752), UNITOPERATION_REMOVE_FEATURE (28)
060, Can't Start, 25, UNIT_BUILDER (458752), UNITOPERATION_REMOVE_FEATURE (28)
060, Adding, 63, UNIT_SCOUT (2097183), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SCOUT (2097183), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SCOUT (2097183), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 63, UNIT_SCOUT (2097183), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 63, UNIT_SCOUT (2097183), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (5570644), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 63, UNIT_WARRIOR (5570644), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 63, UNIT_WARRIOR (5570644), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_ARCHER (7340143), UNITOPERATION_RANGE_ATTACK (26)
060, Adding, 63, UNIT_ARCHER (7340143), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (5570644), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SCOUT (3276849), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_SCOUT (3276849), UNITOPERATION_FORTIFY (12)
060, Adding, 63, UNIT_SCOUT (3276849), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 63, UNIT_SCOUT (3276849), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 63, UNIT_SCOUT (3276849), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (8126587), UNITOPERATION_SWAP_UNITS (49)
060, Can't Start, 63, UNIT_WARRIOR (8126587), UNITOPERATION_SWAP_UNITS (49)
060, Adding, 63, UNIT_WARRIOR (8126587), UNITOPERATION_MOVE_TO (19)
060, Adding, 63, UNIT_WARRIOR (7667828), UNITOPERATION_SWAP_UNITS (49)
